SDAccel Timeline Trace
Generated on: 2021-08-15 07:53:31
Msec since Epoch: 1629014011696
Profiled application: host
Target platform: Xilinx
Tool version: 2018.3


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
4.655777,clGetPlatformIDs|General,START,,,,,,,,,,,0,
4.704112,clGetPlatformIDs|General,END,,,,,,,,,,,0,
4.719624,clGetPlatformInfo|General,START,,,,,,,,,,,1,
4.72523,clGetPlatformInfo|General,END,,,,,,,,,,,1,
4.737383,clGetDeviceIDs|General,START,,,,,,,,,,,2,
4.747119,clGetDeviceIDs|General,END,,,,,,,,,,,2,
4.753413,clCreateContext|General,START,,,,,,,,,,,3,
4.763983,clCreateContext|General,END,,,,,,,,,,,3,
4.770119,clCreateCommandQueue|General,START,,,,,,,,,,,4,
4.778458,clCreateCommandQueue|General,END,,,,,,,,,,,4,
12.836846,clCreateProgramWithBinary|General,START,,,,,,,,,,,5,
923.480341,clCreateProgramWithBinary|General,END,,,,,,,,,,,5,
923.508693,clBuildProgram|General,START,,,,,,,,,,,6,
923.516037,clBuildProgram|General,END,,,,,,,,,,,6,
923.523468,clCreateKernel|General,START,,,,,,,,,,,7,
923.539273,clCreateKernel|General,END,,,,,,,,,,,7,
923.545551,clCreateBuffer|General,START,,,,,,,,,,,8,
1016.656674,clCreateBuffer|General,END,,,,,,,,,,,8,
1016.698009,clCreateBuffer|General,START,,,,,,,,,,,9,
1150.7057,clCreateBuffer|General,END,,,,,,,,,,,9,
10679.97175,clEnqueueWriteBuffer|38443456,START,,,,,,,,,,,10,
10680.12928,clEnqueueWriteBuffer|38443456,END,,,,,,,,,,,10,
10680.14768,clSetKernelArg|General,START,,,,,,,,,,,11,
10680.15591,clSetKernelArg|General,END,,,,,,,,,,,11,
10680.16063,clSetKernelArg|General,START,,,,,,,,,,,12,
10680.16522,clSetKernelArg|General,END,,,,,,,,,,,12,
10680.16928,clSetKernelArg|General,START,,,,,,,,,,,13,
10680.17488,clSetKernelArg|General,END,,,,,,,,,,,13,
10680.17901,clSetKernelArg|General,START,,,,,,,,,,,14,
10680.18358,clSetKernelArg|General,END,,,,,,,,,,,14,
10680.19284,clEnqueueTask|38443456,START,,,,,,,,,,,15,
10680.21769,WRITE_BUFFER,QUEUE,0X000000000|bank0,268435456,,,,,,,,,
10680.2441,WRITE_BUFFER,SUBMIT,0X000000000|bank0,268435456,,,,,,,,,
10680.26933,DEPENDENCY_EVENT,,1,2,
10680.29781,WRITE_BUFFER,START,0X000000000|bank0|0X7F9C3A588700,268435456,,,,,,,1,2,
10680.33735,DEPENDENCY_EVENT,,1,2,
