SDAccel Timeline Trace
Generated on: 2021-08-11 04:33:47
Msec since Epoch: 1628636627791
Profiled application: host
Target platform: Xilinx
Tool version: 2018.3


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
296.591974,clGetPlatformIDs|General,START,,,,,,,,,,,0,
303.958684,clGetPlatformIDs|General,END,,,,,,,,,,,0,
304.072698,clGetPlatformInfo|General,START,,,,,,,,,,,1,
304.090121,clGetPlatformInfo|General,END,,,,,,,,,,,1,
304.115639,clGetDeviceIDs|General,START,,,,,,,,,,,2,
304.167636,clGetDeviceIDs|General,END,,,,,,,,,,,2,
304.188145,clCreateContext|General,START,,,,,,,,,,,3,
304.204195,clCreateContext|General,END,,,,,,,,,,,3,
304.214594,clCreateCommandQueue|General,START,,,,,,,,,,,4,
304.227759,clCreateCommandQueue|General,END,,,,,,,,,,,4,
314.749915,clCreateProgramWithBinary|General,START,,,,,,,,,,,5,
2665.028564,clCreateProgramWithBinary|General,END,,,,,,,,,,,5,
2665.116138,clBuildProgram|General,START,,,,,,,,,,,6,
2665.138089,clBuildProgram|General,END,,,,,,,,,,,6,
2665.150172,clCreateKernel|General,START,,,,,,,,,,,7,
2665.17593,clCreateKernel|General,END,,,,,,,,,,,7,
2665.190868,clCreateBuffer|General,START,,,,,,,,,,,8,
2781.157842,clCreateBuffer|General,END,,,,,,,,,,,8,
2781.226762,clCreateBuffer|General,START,,,,,,,,,,,9,
2911.645368,clCreateBuffer|General,END,,,,,,,,,,,9,
9564.581979,clEnqueueWriteBuffer|94021671664288,START,,,,,,,,,,,10,
9564.806811,clEnqueueWriteBuffer|94021671664288,END,,,,,,,,,,,10,
9564.848188,clSetKernelArg|General,START,,,,,,,,,,,11,
9564.863016,clSetKernelArg|General,END,,,,,,,,,,,11,
9564.872013,clSetKernelArg|General,START,,,,,,,,,,,12,
9564.88104,clSetKernelArg|General,END,,,,,,,,,,,12,
9564.889586,clSetKernelArg|General,START,,,,,,,,,,,13,
9564.901438,clSetKernelArg|General,END,,,,,,,,,,,13,
9564.909884,clSetKernelArg|General,START,,,,,,,,,,,14,
9564.918981,clSetKernelArg|General,END,,,,,,,,,,,14,
9564.953706,clEnqueueTask|94021671664288,START,,,,,,,,,,,15,
9564.985726,WRITE_BUFFER,QUEUE,0X000000000|bank0,268435456,,,,,,,,,
9565.024539,WRITE_BUFFER,SUBMIT,0X000000000|bank0,268435456,,,,,,,,,
9565.05682,DEPENDENCY_EVENT,,1,2,
9565.077959,DEPENDENCY_EVENT,,1,2,
9565.087156,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|warpv|warpv|1:1:1|all,QUEUE,0X55832056C430,1,,,,,,,,,
9565.259299,clEnqueueTask|94021671664288,END,,,,,,,,,,,15,
9565.288053,clFinish|General,START,,,,,,,,,,,16,
9565.398891,WRITE_BUFFER,START,0X000000000|bank0|0X7FA219D73700,268435456,,,,,,,1,2|2,
12293.6861,WRITE_BUFFER,END,0X000000000|bank0|0X7FA219D73700,268435456,,,,,,,1,2|2,
12293.76479,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|warpv|warpv|1:1:1|all,SUBMIT,0X55832056C430,1,,,,,,,,,
12296.45195,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|warpv|warpv|1:1:1|all,START,0X55832056C430,1,,,,,,,2,None,
14586.23781,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|warpv|warpv|1:1:1|all,END,0X55832056C430,1,,,,,,,2,None,
14593.35312,clFinish|General,END,,,,,,,,,,,16,
14593.40004,clSetKernelArg|General,START,,,,,,,,,,,17,
14593.41766,clSetKernelArg|General,END,,,,,,,,,,,17,
14593.42786,clEnqueueReadBuffer|94021671664288,START,,,,,,,,,,,18,
14593.45689,READ_BUFFER,QUEUE,0X010000000|bank0,268435456,,,,,,,,,
14593.48369,READ_BUFFER,SUBMIT,0X010000000|bank0,268435456,,,,,,,,,
14593.6341,READ_BUFFER,START,0X010000000|bank0|0X7FA21A574700,268435456,,,,,,,3,None,
14739.3194,READ_BUFFER,END,0X010000000|bank0|0X7FA21A574700,268435456,,,,,,,3,None,
14739.48455,clEnqueueReadBuffer|94021671664288,END,,,,,,,,,,,18,
14739.53217,clWaitForEvents|General,START,,,,,,,,,,,19,
14739.5484,clWaitForEvents|General,END,,,,,,,,,,,19,
14778.50919,clEnqueueWriteBuffer|94021671664288,START,,,,,,,,,,,20,
14778.5696,WRITE_BUFFER,QUEUE,0X000000000|bank0,268435456,,,,,,,,,
14778.59316,WRITE_BUFFER,SUBMIT,0X000000000|bank0,268435456,,,,,,,,,
